id,material,completa,tipo_corte,ancho_m,largo_m,x,y,cortar_de_baldosa
M-001,Moret,si,completa,0.600,1.194,489.839,-81.407,
M-002,Moret,si,completa,0.600,1.194,490.441,-81.407,
M-003,Moret,si,completa,0.600,1.194,491.043,-81.407,
M-004,Moret,si,completa,0.600,1.194,491.645,-81.407,
M-005,Moret,si,completa,0.600,1.194,492.247,-81.407,
M-006,Moret,si,completa,0.600,1.194,492.849,-81.407,
M-007,Moret,si,completa,0.600,1.194,493.451,-81.407,
M-008,Moret,si,completa,0.600,1.194,494.053,-81.407,
M-009,Moret,si,completa,0.600,1.194,494.655,-81.407,
M-010,Moret,si,completa,0.600,1.194,495.257,-81.407,
M-011,Moret,si,completa,0.600,1.194,495.859,-81.407,
M-012,Moret,si,completa,0.600,1.194,496.461,-81.407,
M-013,Moret,si,completa,0.600,1.194,497.063,-81.407,
M-014,Moret,no,corte_ancho,0.394,1.194,497.562,-81.407,M-54
M-015,Moret,no,corte_largo,0.600,1.074,493.451,-82.543,M-42
M-016,Moret,no,corte_largo,0.600,1.074,497.063,-82.543,M-43
M-017,Moret,no,corte_esquina,0.394,1.074,497.562,-82.543,M-56
M-018,Moret,no,corte_largo,0.600,1.114,489.839,-82.563,M-20
M-019,Moret,no,corte_largo,0.600,1.114,490.441,-82.563,M-21
M-020,Moret,no,corte_largo,0.600,1.114,491.043,-82.563,M-22
M-021,Moret,no,corte_largo,0.600,1.114,491.645,-82.563,M-23
M-022,Moret,no,corte_largo,0.600,1.114,492.247,-82.563,M-24
M-023,Moret,no,corte_largo,0.600,1.114,492.849,-82.563,M-25
M-024,Moret,no,corte_largo,0.600,1.114,494.053,-82.563,M-26
M-025,Moret,no,corte_largo,0.600,1.114,494.655,-82.563,M-27
M-026,Moret,no,corte_largo,0.600,1.114,495.257,-82.563,M-28
M-027,Moret,no,corte_largo,0.600,1.114,495.859,-82.563,M-29
M-028,Moret,no,corte_largo,0.600,1.114,496.461,-82.563,M-30
M-029,Moret,no,corte_largo,0.600,1.146,489.839,-83.773,M-06
M-030,Moret,no,corte_largo,0.600,1.146,490.441,-83.773,M-07
