material,ancho_m,largo_m,completa,tipo_corte,x_plano,y_plano
Moret,0.3,0.6,no,corte_esquina,143.953,56.418
Moret,0.3,0.6,no,corte_esquina,144.253,56.418
Moret,0.3,0.6,no,corte_esquina,144.553,56.418
Moret,0.3,0.6,no,corte_esquina,145.753,56.418
Moret,0.3,0.6,no,corte_esquina,146.053,56.418
Moret,0.3,0.6,no,corte_esquina,146.953,56.418
Moret,0.3,0.6,no,corte_esquina,147.253,56.418
Moret,0.3,0.6,no,corte_esquina,147.553,56.418
Moret,0.3,0.6,no,corte_esquina,143.953,57.018
Moret,0.3,0.6,no,corte_esquina,144.253,57.018
Moret,0.3,0.6,no,corte_esquina,144.553,57.018
Moret,0.3,0.6,no,corte_esquina,145.753,57.018
Moret,0.3,0.6,no,corte_esquina,146.053,57.018
Moret,0.3,0.6,no,corte_esquina,146.953,57.018
Moret,0.3,0.6,no,corte_esquina,147.253,57.018
Moret,0.3,0.6,no,corte_esquina,147.553,57.018
Moret,0.3,0.6,no,corte_esquina,143.953,57.618
Moret,0.3,0.6,no,corte_esquina,144.253,57.618
Moret,0.3,0.6,no,corte_esquina,144.553,57.618
Moret,0.3,0.6,no,corte_esquina,145.753,57.618
Moret,0.3,0.6,no,corte_esquina,146.053,57.618
Moret,0.3,0.6,no,corte_esquina,146.953,57.618
Moret,0.3,0.6,no,corte_esquina,147.253,57.618
Moret,0.3,0.6,no,corte_esquina,147.553,57.618
Moret,0.3,0.6,no,corte_esquina,143.953,58.218
Moret,0.3,0.6,no,corte_esquina,144.253,58.218
Moret,0.3,0.6,no,corte_esquina,144.553,58.218
Moret,0.3,0.6,no,corte_esquina,145.753,58.218
Moret,0.3,0.6,no,corte_esquina,146.053,58.218
Moret,0.3,0.6,no,corte_esquina,146.953,58.218
Moret,0.3,0.6,no,corte_esquina,147.253,58.218
Moret,0.3,0.6,no,corte_esquina,147.553,58.218
Moret,0.3,0.6,no,corte_esquina,143.953,58.818
Moret,0.3,0.6,no,corte_esquina,144.253,58.818
Moret,0.3,0.6,no,corte_esquina,144.553,58.818
Moret,0.3,0.6,no,corte_esquina,145.753,58.818
Moret,0.3,0.6,no,corte_esquina,146.053,58.818
Moret,0.3,0.6,no,corte_esquina,146.953,58.818
Moret,0.3,0.6,no,corte_esquina,147.253,58.818
Moret,0.3,0.6,no,corte_esquina,147.553,58.818
Moret,0.3,0.6,no,corte_esquina,143.953,59.418
Moret,0.3,0.6,no,corte_esquina,144.253,59.418
Moret,0.3,0.6,no,corte_esquina,144.553,59.418
Moret,0.3,0.6,no,corte_esquina,145.753,59.418
Moret,0.3,0.6,no,corte_esquina,146.053,59.418
Moret,0.3,0.6,no,corte_esquina,146.953,59.418
Moret,0.3,0.6,no,corte_esquina,147.253,59.418
Moret,0.3,0.6,no,corte_esquina,147.553,59.418
Moret,0.3,0.6,no,corte_esquina,143.953,60.018
Moret,0.3,0.6,no,corte_esquina,144.253,60.018
Moret,0.3,0.6,no,corte_esquina,144.553,60.018
Moret,0.3,0.6,no,corte_esquina,145.753,60.018
Moret,0.3,0.6,no,corte_esquina,146.053,60.018
Moret,0.3,0.6,no,corte_esquina,146.953,60.018
Moret,0.3,0.6,no,corte_esquina,147.253,60.018
Moret,0.3,0.6,no,corte_esquina,147.553,60.018
Moret,0.3,0.6,no,corte_esquina,146.353,56.418
