material,ancho_m,largo_m,completa,tipo_corte,x_plano,y_plano
Moret,0.6,1.192,si,completa,496.461,-87.336
Moret,0.6,1.192,si,completa,495.859,-87.336
Moret,0.6,1.192,si,completa,495.257,-87.336
Moret,0.6,1.192,si,completa,494.655,-87.336
Moret,0.6,1.192,si,completa,494.053,-87.336
Moret,0.6,1.192,si,completa,493.451,-87.336
Moret,0.6,1.192,si,completa,492.849,-87.336
Moret,0.6,1.192,si,completa,492.247,-87.336
Moret,0.6,1.192,si,completa,491.645,-87.336
Moret,0.6,1.192,si,completa,491.043,-87.336
Moret,0.6,1.192,si,completa,490.441,-87.336
Moret,0.6,1.192,si,completa,489.839,-87.336
Moret,0.6,1.194,si,completa,496.461,-86.141
Moret,0.6,1.194,si,completa,495.859,-86.141
Moret,0.6,1.194,si,completa,495.257,-86.141
Moret,0.6,1.194,si,completa,494.655,-86.141
Moret,0.6,1.194,si,completa,494.053,-86.141
Moret,0.6,1.194,si,completa,493.451,-86.141
Moret,0.6,1.194,si,completa,492.849,-86.141
Moret,0.6,1.194,si,completa,492.247,-86.141
Moret,0.6,1.194,si,completa,491.645,-86.141
Moret,0.6,1.194,si,completa,491.043,-86.141
Moret,0.6,1.194,si,completa,490.441,-86.141
Moret,0.6,1.194,si,completa,489.841,-87.336
Royal Walnut,0.2,1.0495,no,corte_largo,502.263,-86.036
Royal Walnut,0.2,1.2,si,completa,502.263,-84.91
Royal Walnut,0.2,0.449,no,corte_largo,502.062,-86.336
Royal Walnut,0.2,1.2,si,completa,502.062,-85.51
Royal Walnut,0.2,1.0495,no,corte_largo,501.861,-86.036
Royal Walnut,0.2,1.2,si,completa,501.861,-84.91
Royal Walnut,0.2,0.449,no,corte_largo,501.66,-86.336
Royal Walnut,0.2,1.2,si,completa,501.66,-85.51
Royal Walnut,0.2,1.0495,no,corte_largo,501.459,-86.036
Royal Walnut,0.2,1.2,si,completa,501.459,-84.91
Royal Walnut,0.2,0.449,no,corte_largo,501.258,-86.336
Royal Walnut,0.2,1.2,si,completa,501.258,-85.51
Royal Walnut,0.2,1.0495,no,corte_largo,501.057,-86.036
Royal Walnut,0.2,1.2,si,completa,501.057,-84.91
Royal Walnut,0.2,0.449,no,corte_largo,500.856,-86.336
Royal Walnut,0.2,1.2,si,completa,500.856,-85.51
Royal Walnut,0.2,1.0495,no,corte_largo,500.655,-86.036
Royal Walnut,0.2,1.2,si,completa,500.655,-84.91
Royal Walnut,0.2,0.449,no,corte_largo,500.454,-86.336
Royal Walnut,0.2,1.2,si,completa,500.454,-85.51
Royal Walnut,0.2,1.0495,no,corte_largo,500.253,-86.036
Royal Walnut,0.2,1.2,si,completa,500.253,-84.91
Royal Walnut,0.2,0.449,no,corte_largo,500.052,-86.336
Royal Walnut,0.2,1.2,si,completa,500.052,-85.51
Royal Walnut,0.177,1.0495,no,corte_esquina,499.863,-86.036
Royal Walnut,0.177,1.2,no,corte_ancho,499.863,-84.91
Royal Walnut,0.2,1.2,si,completa,502.263,-83.709
Royal Walnut,0.2,1.2,si,completa,502.062,-84.309
Royal Walnut,0.2,1.2,si,completa,501.861,-83.709
Royal Walnut,0.2,1.2,si,completa,501.66,-84.309
Royal Walnut,0.2,1.2,si,completa,501.459,-83.709
Royal Walnut,0.2,1.2,si,completa,501.258,-84.309
Royal Walnut,0.2,1.2,si,completa,501.057,-83.709
Royal Walnut,0.2,1.2,si,completa,500.856,-84.309
Royal Walnut,0.2,1.2,si,completa,500.655,-83.709
Royal Walnut,0.2,1.2,si,completa,500.454,-84.309
Royal Walnut,0.2,1.2,si,completa,500.253,-83.709
Royal Walnut,0.2,1.2,si,completa,500.052,-84.309
Royal Walnut,0.177,1.2,no,corte_ancho,499.863,-83.709
Royal Walnut,0.2,1.0157,no,corte_largo,502.263,-82.6
Royal Walnut,0.2,1.2,si,completa,502.062,-83.108
Royal Walnut,0.2,1.016,no,corte_largo,501.861,-82.6
Royal Walnut,0.2,1.2,si,completa,501.66,-83.108
Royal Walnut,0.2,1.0163,no,corte_largo,501.459,-82.6
Royal Walnut,0.2,1.2,si,completa,501.258,-83.108
Royal Walnut,0.2,1.0166,no,corte_largo,501.057,-82.6
Royal Walnut,0.2,1.2,si,completa,500.856,-83.108
Royal Walnut,0.2,1.0169,no,corte_largo,500.655,-82.599
Royal Walnut,0.2,1.2,si,completa,500.454,-83.108
Royal Walnut,0.2,1.0172,no,corte_largo,500.253,-82.599
Royal Walnut,0.2,1.2,si,completa,500.052,-83.108
Royal Walnut,0.177,1.0173,no,corte_esquina,499.863,-82.599
Royal Walnut,0.2,0.4153,no,corte_largo,502.062,-82.3
Royal Walnut,0.2,0.4156,no,corte_largo,501.66,-82.3
Royal Walnut,0.2,0.4159,no,corte_largo,501.258,-82.299
Royal Walnut,0.2,0.4162,no,corte_largo,500.856,-82.299
Royal Walnut,0.2,0.4165,no,corte_largo,500.454,-82.299
Royal Walnut,0.2,0.4168,no,corte_largo,500.052,-82.299
Moret,0.045,1.1101,no,corte_esquina,507.792,-84.325
Royal Walnut,0.045,1.2,no,corte_ancho,507.792,-83.169
Royal Walnut,0.2,1.2,si,completa,507.668,-83.77
Royal Walnut,0.2,0.5096,no,corte_largo,507.668,-84.626
Royal Walnut,0.2,1.0784,no,corte_largo,507.668,-82.63
Royal Walnut,0.2,1.1101,no,corte_largo,507.467,-84.325
Royal Walnut,0.2,1.2,si,completa,507.467,-83.169
Royal Walnut,0.2,1.2,si,completa,507.266,-83.77
Royal Walnut,0.2,0.5096,no,corte_largo,507.266,-84.626
Royal Walnut,0.2,1.0784,no,corte_largo,507.266,-82.63
Royal Walnut,0.2,1.1101,no,corte_largo,507.065,-84.325
Royal Walnut,0.2,1.2,si,completa,507.065,-83.169
Royal Walnut,0.2,1.2,si,completa,506.864,-83.77
Royal Walnut,0.2,0.5096,no,corte_largo,506.864,-84.626
Royal Walnut,0.2,1.0784,no,corte_largo,506.864,-82.63
Royal Walnut,0.2,1.1101,no,corte_largo,506.663,-84.325
Royal Walnut,0.2,1.2,si,completa,506.663,-83.169
Royal Walnut,0.2,1.2,si,completa,506.462,-83.77
Royal Walnut,0.2,0.5096,no,corte_largo,506.462,-84.626
Royal Walnut,0.2,1.0784,no,corte_largo,506.462,-82.63
Royal Walnut,0.2,1.1101,no,corte_largo,506.261,-84.325
Royal Walnut,0.2,1.2,si,completa,506.261,-83.169
Royal Walnut,0.2,1.2,si,completa,506.06,-83.77
Royal Walnut,0.2,0.5096,no,corte_largo,506.06,-84.626
Royal Walnut,0.2,1.0784,no,corte_largo,506.06,-82.63
Royal Walnut,0.2,1.1101,no,corte_largo,505.859,-84.325
Royal Walnut,0.2,1.2,si,completa,505.859,-83.169
Royal Walnut,0.2,1.2,si,completa,505.658,-83.77
Royal Walnut,0.2,0.5096,no,corte_largo,505.658,-84.626
Royal Walnut,0.2,1.0784,no,corte_largo,505.658,-82.63
Royal Walnut,0.2,1.1101,no,corte_largo,505.457,-84.325
Royal Walnut,0.2,1.2,si,completa,505.457,-83.169
Royal Walnut,0.2,1.2,si,completa,505.256,-83.77
Royal Walnut,0.2,0.5096,no,corte_largo,505.256,-84.626
Royal Walnut,0.2,1.0784,no,corte_largo,505.256,-82.63
Royal Walnut,0.2,1.1101,no,corte_largo,505.055,-84.325
Royal Walnut,0.2,1.2,si,completa,505.055,-83.169
Royal Walnut,0.2,1.2,si,completa,504.854,-83.77
Royal Walnut,0.2,0.5096,no,corte_largo,504.854,-84.626
Royal Walnut,0.2,1.0784,no,corte_largo,504.854,-82.63
Royal Walnut,0.2,1.1101,no,corte_largo,504.653,-84.325
Royal Walnut,0.2,1.2,si,completa,504.653,-83.169
Royal Walnut,0.2,1.2,si,completa,504.452,-83.77
Royal Walnut,0.2,0.5096,no,corte_largo,504.452,-84.626
