material,baldosa_n,ancho_m,largo_m,orientacion,pieza_y_ubicacion
Moret,1,0.596,1.180,normal,"0.596x1.180 @(495.26,-90.93)"
Moret,2,0.596,1.150,normal,"0.596x1.150 @(500.57,-87.31)"
Moret,3,0.596,1.150,normal,"0.596x1.150 @(503.65,-88.47)"
Moret,4,0.596,1.150,normal,"0.596x1.150 @(503.04,-88.47)"
Moret,5,0.596,1.150,normal,"0.596x1.150 @(500.57,-88.47)"
Moret,6,0.596,1.146,normal,"0.596x1.146 @(496.46,-83.77)"
Moret,7,0.596,1.146,normal,"0.596x1.146 @(495.86,-83.77)"
Moret,8,0.596,1.146,normal,"0.596x1.146 @(495.26,-83.77)"
Moret,9,0.596,1.146,normal,"0.596x1.146 @(494.65,-83.77)"
Moret,10,0.596,1.146,normal,"0.596x1.146 @(494.05,-83.77)"
Moret,11,0.596,1.146,normal,"0.596x1.146 @(492.85,-83.77)"
Moret,12,0.596,1.146,normal,"0.596x1.146 @(492.25,-83.77)"
Moret,13,0.596,1.146,normal,"0.596x1.146 @(491.64,-83.77)"
Moret,14,0.596,1.146,normal,"0.596x1.146 @(491.04,-83.77)"
Moret,15,0.596,1.146,normal,"0.596x1.146 @(490.44,-83.77)"
Moret,16,0.596,1.146,normal,"0.596x1.146 @(489.84,-83.77)"
Moret,17,0.596,1.120,normal,"0.596x1.120 @(497.06,-87.30)"
Moret,18,0.596,1.120,normal,"0.596x1.120 @(495.86,-90.90)"
Moret,19,0.596,1.120,normal,"0.596x1.120 @(497.06,-90.90)"
Moret,20,0.596,1.114,normal,"0.596x1.114 @(496.46,-82.56)"
Moret,21,0.596,1.114,normal,"0.596x1.114 @(495.86,-82.56)"
Moret,22,0.596,1.114,normal,"0.596x1.114 @(495.26,-82.56)"
Moret,23,0.596,1.114,normal,"0.596x1.114 @(494.65,-82.56)"
Moret,24,0.596,1.114,normal,"0.596x1.114 @(494.05,-82.56)"
Moret,25,0.596,1.114,normal,"0.596x1.114 @(492.85,-82.56)"
Moret,26,0.596,1.114,normal,"0.596x1.114 @(492.25,-82.56)"
Moret,27,0.596,1.114,normal,"0.596x1.114 @(491.64,-82.56)"
Moret,28,0.596,1.114,normal,"0.596x1.114 @(491.04,-82.56)"
Moret,29,0.596,1.114,normal,"0.596x1.114 @(490.44,-82.56)"
Moret,30,0.596,1.114,normal,"0.596x1.114 @(489.84,-82.56)"
Moret,31,0.596,1.110,normal,"0.596x1.110 @(496.46,-92.02)"
Moret,32,0.596,1.110,normal,"0.596x1.110 @(495.86,-92.02)"
Moret,33,0.596,1.110,normal,"0.596x1.110 @(497.06,-92.02)"
Moret,34,0.596,1.109,normal,"0.596x1.109 @(497.06,-89.17)"
Moret,35,0.596,1.104,normal,"0.596x1.104 @(506.91,-89.18)"
Moret,36,0.596,1.104,normal,"0.596x1.104 @(504.50,-89.18)"
Moret,37,0.596,1.104,normal,"0.596x1.104 @(507.51,-89.18)"
Moret,38,0.596,1.096,normal,"0.596x1.096 @(503.64,-91.98)"
Moret,39,0.596,1.096,normal,"0.596x1.096 @(503.04,-91.98)"
Moret,40,0.596,1.086,normal,"0.596x1.086 @(493.45,-83.80)"
Moret,41,0.596,1.086,normal,"0.596x1.086 @(497.06,-83.80)"
